creditLine,CardType,CardName
1,American Express,SimplyCash® Business Card from American Express
2,American Express,Gold Delta SkyMiles® Credit Card from American Express
3,MasterCard,BuyPower Card from Capital One®
4,MasterCard,Barclaycard Arrival Plus™ World Elite MasterCard®
5,Visa,Southwest Airlines Rapid Rewards® Premier Credit Card
6,Visa,Denver Broncos Extra Points Credit Card
7,MasterCard,Barclaycard® Ring MasterCard®
8,Discover,Discover it® Secured Credit Card
9,American Express,Premier Rewards Gold Card from American Express
10,American Express,The Business Platinum Card® from American Express OPEN
11,Visa,BankAmericard Travel Rewards® Credit Card
12,American Express,Starwood Preferred Guest® Credit Card from American Express
13,MasterCard,Barclaycard CashForward™ World MasterCard®
14,Visa,Citi® Hilton HHonorsTM Reserve Card
15,MasterCard,Citi® Diamond Preferred® Card
16,Visa,Indianapolis Colts Extra Points Credit Card
17,MasterCard,Capital One® QuicksilverOne® Cash Rewards Credit Card
18,MasterCard,GMC BuyPower Card from Capital One®
19,American Express,Starwood Preferred Guest® Business Credit Card from American Express
20,Discover,Discover it® chrome for Students
21,Visa,NASA Federal Visa® Platinum Advantage Rewards
22,Visa,New Orleans Saints Extra Points Credit Card
23,MasterCard,Buick BuyPower Card from Capital One®
24,Visa,Virgin America Visa Signature® Card
25,Visa,United MileagePlus® Explorer Card
26,MasterCard,Barclaycard Arrival™ World MasterCard®
27,American Express,The Platinum Card® from American Express
28,MasterCard,Citi ThankYou® Premier Card
29,MasterCard,Barclaycard Rewards MasterCard®
30,Visa,Pittsburgh Steelers Extra Points Credit Card
31,MasterCard,Citi® / AAdvantage® Executive World Elite™ MasterCard®
32,American Express,The Plum Card® from American Express OPEN
33,Visa,Alaska Airlines Visa Signature® Credit Card
34,Visa,NFL Extra Points Credit Card
35,American Express,The Amex EveryDay® Preferred Credit Card from American Express
36,MasterCard,Susan G. Komen® Credit Card
37,American Express,Hilton HHonors™ Card from American Express
38,Visa,Seattle Seahawks Extra Points Credit Card
39,Visa,Citi Prestige® Card
40,MasterCard,NY Giants Extra Points Credit Card
41,Visa,The First Access VISA® Credit Card
42,MasterCard,First PREMIER® Bank Gold Credit Card
43,Visa,Oakland Raiders Extra Points Credit Card
44,Visa,TD Cash Visa® Credit Card
45,MasterCard,Green Bay Packers Extra Points Credit Card
46,MasterCard,Citi® Double Cash Card
47,MasterCard,Citi Simplicity® Card
48,MasterCard,Dallas Cowboys Extra Points Credit Card
49,MasterCard,MLB® BankAmericard Cash Rewards™ MasterCard® Credit Card
50,Discover,NHL® Discover it® card
51,MasterCard,IHG® Rewards Club Select Credit Card
52,Discover,Discover it® for Students
53,Visa,New England Patriots Extra Points Credit Card
54,Visa,Chase Slate®
55,Visa,San Diego Chargers Extra Points Credit Card
56,American Express,Blue Cash Preferred® Card from American Express
57,Discover,Discover it® Miles
58,Visa,British Airways Visa Signature® Card
59,Visa,BankAmericard Cash Rewards™ Credit Card
60,American Express,The Plenti® Credit Card from Amex
61,MasterCard,Cadillac BuyPower Card from Capital One®
62,MasterCard,Indigo® Platinum MasterCard®
63,American Express,Gold Delta SkyMiles® Business Credit Card from American Express
64,Visa,BankAmericard® Credit Card
65,Discover,Discover it® chrome
66,American Express,The Blue for Business® Credit Card from American Express
67,Visa,USAA Cash Rewards® Visa®
68,Visa,Citi® Hilton HHonorsTM Visa Signature® Card
69,Visa,USAA Rewards™ Visa®
70,American Express,Business Green Rewards Card from American Express OPEN
71,Visa,U.S. Bank Visa® Platinum Card
72,Visa,PlayStation® Card from Capital One®
73,American Express,Blue Cash Everyday® Card from American Express
74,Visa,Sony® Card from Capital One®
75,American Express,The Amex EveryDay® Credit Card from American Express
