> m_xgb_fine <- train(
+   loan_status ~ ., 
+   data = data_xgb_pca_train,    #Usar sólo el 50% de los datos | 1er intento: data | 2do: data_xgb_train_lvl1 | 3er: data_xgb_pca_train
+   method = "xgbTree",
+   trControl = ctrl_xgb_fine,
+   tuneGrid = grid_xgb_fine,
+   metric = "Kappa",
+   verbosity = 0
+ )
> print(m_xgb_fine)
eXtreme Gradient Boosting 

22500 samples
   17 predictor
    2 classes: 'Rechazado', 'Aprobado' 

No pre-processing
Resampling: Cross-Validated (5 fold) 
Summary of sample sizes: 18000, 18000, 18000, 18000, 18000 
Resampling results across tuning parameters:

  eta   max_depth  gamma  colsample_bytree  min_child_weight  subsample  nrounds  Accuracy   Kappa    
  0.05  3          0.0    0.7               1                 0.8        100      0.8914222  0.6601840
  0.05  3          0.0    0.7               1                 0.8        150      0.8994667  0.6920107
  0.05  3          0.0    0.7               1                 0.9        100      0.8900889  0.6544228
  0.05  3          0.0    0.7               1                 0.9        150      0.8989778  0.6900003
  0.05  3          0.0    0.7               5                 0.8        100      0.8915111  0.6598474
  0.05  3          0.0    0.7               5                 0.8        150      0.8989778  0.6904967
  0.05  3          0.0    0.7               5                 0.9        100      0.8909333  0.6555756
  0.05  3          0.0    0.7               5                 0.9        150      0.8985333  0.6889027
  0.05  3          0.0    0.8               1                 0.8        100      0.8892889  0.6535181
  0.05  3          0.0    0.8               1                 0.8        150      0.8980000  0.6875575
  0.05  3          0.0    0.8               1                 0.9        100      0.8894222  0.6530324
  0.05  3          0.0    0.8               1                 0.9        150      0.8986667  0.6894251
  0.05  3          0.0    0.8               5                 0.8        100      0.8917778  0.6609544
  0.05  3          0.0    0.8               5                 0.8        150      0.8993778  0.6920807
  0.05  3          0.0    0.8               5                 0.9        100      0.8907111  0.6575299
  0.05  3          0.0    0.8               5                 0.9        150      0.8984889  0.6888513
  0.05  3          0.1    0.7               1                 0.8        100      0.8913778  0.6593930
  0.05  3          0.1    0.7               1                 0.8        150      0.8993778  0.6914240
  0.05  3          0.1    0.7               1                 0.9        100      0.8907556  0.6568884
  0.05  3          0.1    0.7               1                 0.9        150      0.8981333  0.6872937
  0.05  3          0.1    0.7               5                 0.8        100      0.8916000  0.6596334
  0.05  3          0.1    0.7               5                 0.8        150      0.8990667  0.6903850
  0.05  3          0.1    0.7               5                 0.9        100      0.8912444  0.6582382
  0.05  3          0.1    0.7               5                 0.9        150      0.8991111  0.6909423
  0.05  3          0.1    0.8               1                 0.8        100      0.8917778  0.6614831
  0.05  3          0.1    0.8               1                 0.8        150      0.8987111  0.6900320
  0.05  3          0.1    0.8               1                 0.9        100      0.8905333  0.6570413
  0.05  3          0.1    0.8               1                 0.9        150      0.8991111  0.6906991
  0.05  3          0.1    0.8               5                 0.8        100      0.8904444  0.6573921
  0.05  3          0.1    0.8               5                 0.8        150      0.8976889  0.6869029
  0.05  3          0.1    0.8               5                 0.9        100      0.8900000  0.6557340
  0.05  3          0.1    0.8               5                 0.9        150      0.8979556  0.6874251
  0.05  4          0.0    0.7               1                 0.8        100      0.9004000  0.6927828
  0.05  4          0.0    0.7               1                 0.8        150      0.9050222  0.7117742
  0.05  4          0.0    0.7               1                 0.9        100      0.8997333  0.6907405
  0.05  4          0.0    0.7               1                 0.9        150      0.9042222  0.7094266
  0.05  4          0.0    0.7               5                 0.8        100      0.9003111  0.6931303
  0.05  4          0.0    0.7               5                 0.8        150      0.9049778  0.7114445
  0.05  4          0.0    0.7               5                 0.9        100      0.9007111  0.6938920
  0.05  4          0.0    0.7               5                 0.9        150      0.9042222  0.7092882
  0.05  4          0.0    0.8               1                 0.8        100      0.8997333  0.6928969
  0.05  4          0.0    0.8               1                 0.8        150      0.9039556  0.7092985
  0.05  4          0.0    0.8               1                 0.9        100      0.8997333  0.6918386
  0.05  4          0.0    0.8               1                 0.9        150      0.9049778  0.7123688
  0.05  4          0.0    0.8               5                 0.8        100      0.8995111  0.6912472
  0.05  4          0.0    0.8               5                 0.8        150      0.9046222  0.7111752
  0.05  4          0.0    0.8               5                 0.9        100      0.8992889  0.6901160
  0.05  4          0.0    0.8               5                 0.9        150      0.9034222  0.7070897
  0.05  4          0.1    0.7               1                 0.8        100      0.9008000  0.6938473
  0.05  4          0.1    0.7               1                 0.8        150      0.9052444  0.7125698
  0.05  4          0.1    0.7               1                 0.9        100      0.9000000  0.6917052
  0.05  4          0.1    0.7               1                 0.9        150      0.9048889  0.7110798
  0.05  4          0.1    0.7               5                 0.8        100      0.9003556  0.6925813
  0.05  4          0.1    0.7               5                 0.8        150      0.9037778  0.7076036
  0.05  4          0.1    0.7               5                 0.9        100      0.8999111  0.6915439
  0.05  4          0.1    0.7               5                 0.9        150      0.9052000  0.7122159
  0.05  4          0.1    0.8               1                 0.8        100      0.9008000  0.6941724
  0.05  4          0.1    0.8               1                 0.8        150      0.9047111  0.7110422
  0.05  4          0.1    0.8               1                 0.9        100      0.8990667  0.6900294
  0.05  4          0.1    0.8               1                 0.9        150      0.9048000  0.7118008
  0.05  4          0.1    0.8               5                 0.8        100      0.8996000  0.6916106
  0.05  4          0.1    0.8               5                 0.8        150      0.9043111  0.7097308
  0.05  4          0.1    0.8               5                 0.9        100      0.8989778  0.6905082
  0.05  4          0.1    0.8               5                 0.9        150      0.9046667  0.7114764
  0.10  3          0.0    0.7               1                 0.8        100      0.9023111  0.7031304
  0.10  3          0.0    0.7               1                 0.8        150      0.9073778  0.7220135
  0.10  3          0.0    0.7               1                 0.9        100      0.9028889  0.7049642
